id,created_at,text
1304936673319378946,2020-09-13 00:15:22,JESUS SAVES https://t.co/Yl9slYt28F
1304869935139622912,2020-09-12 19:50:10,https://t.co/lZSzjEd0ov
1304533113599602692,2020-09-11 21:31:45,WHEN YOU DEDICATE YOUR LIFE TO DESIGNING THE FUTURE AND THEY END UP ON FUTURE ⛷ https://t.co/HlJ34ODVTg
1304219225993732096,2020-09-11 00:44:29,YOOOO PATRICK... PASS RICKY THE BALL https://t.co/vOc3P4T4K8
1304216926806249478,2020-09-11 00:35:21,THANK YOU CANDACE OWENS https://t.co/sc642WqC9I
1304117674402775049,2020-09-10 18:00:57,I DONT HAVE A BOARD SEAT AT GAP I DONT HAVE A BOARD SEAT AT ADIDAS ... BLACK BOARD SEATS MATTER
1303888526585614336,2020-09-10 02:50:24,"RT @XXL: Drake spitting “Ready or Not” by Fugees as a kid 

https://t.co/pLGEFWHd1k"
1303888275841732608,2020-09-10 02:49:24,‘Their
1303888208548311040,2020-09-10 02:49:08,When rogue Mavericks tweet there year role  1.5 billion dollar plan 😱🙃⛷ https://t.co/27XgLsBCg4
1303871066687840257,2020-09-10 01:41:01,100 foot screen ... it’s a good start ⛷ https://t.co/Sj194ksUwL
1303521391476531200,2020-09-09 02:31:32,https://t.co/exKVJFDiK9         BROOOOOOOO TRAV MCDONALDS COMMERCIAL
1303510594784391168,2020-09-09 01:48:38,CHI TOWN ⛷ https://t.co/lEIenwuXKo
1303510554791669760,2020-09-09 01:48:28,VB https://t.co/kfohO7U4oF
1303510500685148160,2020-09-09 01:48:16,VB https://t.co/aQuNaz1gGa
1303510371941007362,2020-09-09 01:47:45,VIRGIL BENZ !!!!!!!!! https://t.co/3Q5K3FKWqL
1303500635451437056,2020-09-09 01:09:04,Too much texting bro     Had to get the  cortisone mixed with a wittle sprinkle of lidocaine 🥋 https://t.co/09O5givghJ
1303458611100704768,2020-09-08 22:22:04,https://t.co/oGn6dxbSbB
1303454784729608194,2020-09-08 22:06:52,Lidocaine worked instantly!!! The dexamethasone takes 24 to 48 hours         Modern medicine ⛷ https://t.co/0rkP4x2KVj
1302819318162481153,2020-09-07 04:01:45,https://t.co/nVogflPZHF
1302720156901289984,2020-09-06 21:27:43,Congratulations to my brother Big Sean on his new album Good music for life 🙏🏾 https://t.co/hHmIjFmmlz
1301349148579573760,2020-09-03 02:39:49,My boy David Blaine....incredible https://t.co/ag0ZXs4npB
1301327549193170944,2020-09-03 01:13:59,This a good start ⛷ https://t.co/bmCHzNrKEM
1301225561935753220,2020-09-02 18:28:44,https://t.co/GDt3R1wmG0
1301225531719979009,2020-09-02 18:28:37,Godspeed to my brother Jon Wexler ...this man changed the game with our adidas deal and helped to bring adidas to a  62 billion dollar market cap and made me a multi billionaire    ... Thank you Jon .. you changed my life
1301199539043532801,2020-09-02 16:45:19,The world needs more Joy... this idea is super fresh
1301199214974697472,2020-09-02 16:44:02,https://t.co/dbHPj0Ni5i
1296900393490771968,2020-08-21 20:02:03,"Romans 8:31 “If God is for us, who can be against us?!”"
1296876973419986944,2020-08-21 18:28:59,WE GOT IN CONTACT WITH TIK TOK 🙏🏾 PRAISE THE LORD ... I’LL KEEP EVERYONE UPDATED
1296860078264299520,2020-08-21 17:21:51,THANK EVERYBODY FOR THEIR PRAYERS... I FOUND MY CHRISTIAN CFO ... GOD IS SO GOOD
1296844189926211584,2020-08-21 16:18:43,"Praise God ... look at all the ballots we’re on On 🕊
Oklahoma
Arkansas
Vermont
West Virginia
Colorado
Iowa
Utah
Minnesota
Tennessee
Virginia"
1296510134236205056,2020-08-20 18:11:18,THESE BRING ME BACK TO MY CHILDHOOD ... GROWING UP ON ANIME ... I NEED A PAIR https://t.co/EeeNwNZ6m4
1296509107160195076,2020-08-20 18:07:13,WOW     SO COOL NIKE ... KEEP INNOVATING ... THE WOLRD NEEDS IT ... GREAT JOB https://t.co/2QJDPVvUVF
